Time,Input,Response
datetime,float,float
T,,
04/03/16 20:0,-0.077,0.006
04/05/16 12:0,-0.076,0.006
04/07/16 03:0,-0.076,0.006
04/08/16 20:0,-0.079,0.012
04/10/16 12:0,-0.082,0.006
04/12/16 03:0,-0.086,0.006
04/13/16 20:0,-0.09,0.006
04/15/16 12:0,-0.095,0.006
04/17/16 03:0,-0.099,0.006
04/18/16 20:0,-0.104,0.006
04/20/16 12:0,-0.107,0.006
04/22/16 03:0,-0.11,0.006
04/23/16 20:0,-0.113,0.0
04/25/16 12:0,-0.114,0.0
04/27/16 03:0,-0.112,-0.047
04/28/16 20:0,-0.113,0.006
04/30/16 12:0,-0.113,0.006
05/02/16 03:0,-0.112,0.006
05/03/16 20:0,-0.112,0.006
05/05/16 12:0,-0.112,0.006
05/07/16 03:0,-0.103,-0.176
05/08/16 20:0,-0.103,0.006
05/10/16 12:0,-0.104,0.006
05/12/16 03:0,-0.105,0.006
05/13/16 20:0,-0.107,0.006
05/15/16 12:0,-0.108,0.0
05/17/16 03:0,-0.102,-0.165
05/18/16 20:0,-0.104,0.024
05/20/16 12:0,-0.106,0.029
05/22/16 03:0,-0.11,0.065
05/23/16 20:0,-0.114,0.112
05/25/16 12:0,-0.115,0.065
05/27/16 03:0,-0.09,-0.429
05/28/16 20:0,-0.081,-0.065
05/30/16 12:0,-0.072,-0.059
06/01/16 03:0,-0.06,-0.071
06/02/16 20:0,-0.048,-0.029
06/04/16 12:0,-0.037,-0.006
06/06/16 03:0,0.003,-0.553
06/07/16 20:0,0.019,-0.053
06/09/16 12:0,0.041,-0.176
06/11/16 03:0,0.064,-0.206
06/12/16 20:0,0.086,-0.176
06/14/16 12:0,0.104,-0.129
06/16/16 03:0,0.129,-0.282
06/17/16 20:0,0.145,-0.112
06/19/16 12:0,0.159,-0.135
06/21/16 03:0,0.173,-0.141
06/22/16 20:0,0.183,-0.124
06/24/16 12:0,0.192,-0.1
06/26/16 03:0,0.205,-0.241
06/27/16 20:0,0.207,-0.029
06/29/16 12:0,0.204,0.053
07/01/16 03:0,0.2,0.076
07/02/16 20:0,0.196,0.065
07/04/16 12:0,0.194,0.029
07/06/16 03:0,0.201,-0.153
07/07/16 20:0,0.201,0.018
07/09/16 12:0,0.201,0.047
07/11/16 03:0,0.202,0.041
07/12/16 20:0,0.205,0.035
07/14/16 12:0,0.208,0.071
07/16/16 03:0,0.211,0.088
07/17/16 20:0,0.214,0.088
07/19/16 12:0,0.219,0.076
07/21/16 03:0,0.223,0.082
07/22/16 20:0,0.226,0.118
07/24/16 12:0,0.226,0.141
07/26/16 03:0,0.226,0.141
07/27/16 20:0,0.222,0.153
07/29/16 12:0,0.215,0.194
07/31/16 03:0,0.205,0.212
08/01/16 20:0,0.189,0.282
08/03/16 12:0,0.168,0.335
08/05/16 03:0,0.148,0.259
08/06/16 20:0,0.125,0.288
08/08/16 12:0,0.098,0.329
08/10/16 03:0,0.068,0.341
08/11/16 20:0,0.04,0.294
08/13/16 12:0,0.013,0.276
08/15/16 03:0,-0.015,0.276
08/16/16 20:0,-0.041,0.265
08/18/16 12:0,-0.066,0.265
08/20/16 03:0,-0.09,0.259
08/21/16 20:0,-0.111,0.259
08/23/16 12:0,-0.13,0.247
08/25/16 03:0,-0.146,0.259
08/26/16 20:0,-0.161,0.271
08/28/16 12:0,-0.175,0.288
08/30/16 03:0,-0.185,0.271
08/31/16 20:0,-0.194,0.288
09/02/16 12:0,-0.2,0.271
09/04/16 03:0,-0.203,0.229
09/05/16 20:0,-0.203,0.2
09/07/16 12:0,-0.203,0.194
09/09/16 03:0,-0.203,0.206
09/10/16 20:0,-0.22,0.535
09/12/16 12:0,-0.225,0.3
09/14/16 03:0,-0.232,0.306
09/15/16 20:0,-0.232,0.141
