Time,Input,Response,Error
datetime,float,float,float
T,,,
07/20/16 19:0,-0.038,0.006,-0.032
07/22/16 12:0,-0.036,0.0,-0.036
07/24/16 03:0,-0.032,0.0,-0.032
07/25/16 19:0,-0.026,0.006,-0.019999999999999997
07/27/16 12:0,-0.018,0.006,-0.011999999999999999
07/29/16 03:0,-0.008,0.006,-0.002
07/30/16 19:0,0.003,0.0,0.003
08/01/16 12:0,0.015,0.0,0.015
08/03/16 03:0,0.027,0.0,0.027
08/04/16 19:0,0.039,0.0,0.039
08/06/16 12:0,0.05,-0.006,0.044000000000000004
08/08/16 03:0,0.061,-0.006,0.055
08/09/16 19:0,0.069,-0.006,0.063
08/11/16 12:0,0.076,-0.006,0.06999999999999999
08/13/16 03:0,0.082,-0.006,0.076
08/14/16 19:0,0.085,-0.006,0.079
08/16/16 12:0,0.087,0.0,0.087
08/18/16 03:0,0.087,0.0,0.087
08/19/16 19:0,0.086,0.0,0.086
08/21/16 12:0,0.084,0.0,0.084
08/23/16 03:0,0.081,-0.087,-0.0059999999999999915
08/24/16 19:0,0.077,0.0,0.077
08/26/16 12:0,0.074,0.0,0.074
08/28/16 03:0,0.072,0.006,0.078
08/29/16 19:0,0.07,0.017,0.08700000000000001
08/31/16 12:0,0.07,0.041,0.11100000000000002
09/02/16 03:0,0.071,0.058,0.129
09/03/16 19:0,0.073,0.058,0.131
09/05/16 12:0,0.076,0.058,0.134
09/07/16 03:0,0.081,0.052,0.133
09/08/16 19:0,0.087,0.058,0.145
09/10/16 12:0,0.094,0.064,0.158
09/12/16 03:0,0.102,0.058,0.16
09/13/16 19:0,0.109,0.058,0.167
09/15/16 12:0,0.117,0.07,0.187
09/17/16 03:0,0.125,0.07,0.195
09/18/16 19:0,0.131,0.076,0.20700000000000002
09/20/16 12:0,0.137,0.081,0.21800000000000003
09/22/16 03:0,0.141,0.128,0.269
09/23/16 19:0,0.144,0.134,0.278
09/25/16 12:0,0.145,0.122,0.267
09/27/16 03:0,0.145,0.134,0.279
09/28/16 19:0,0.143,0.14,0.28300000000000003
09/30/16 12:0,0.14,0.157,0.29700000000000004
10/02/16 03:0,0.136,0.192,0.328
10/03/16 19:0,0.131,0.198,0.329
10/05/16 12:0,0.126,0.198,0.324
10/07/16 03:0,0.12,0.18,0.3
10/08/16 19:0,0.115,0.174,0.289
10/10/16 12:0,0.11,0.186,0.296
10/12/16 03:0,0.105,0.192,0.297
10/13/16 19:0,0.102,0.203,0.305
10/15/16 12:0,0.099,0.203,0.30200000000000005
10/17/16 03:0,0.097,0.209,0.306
10/18/16 19:0,0.096,0.209,0.305
10/20/16 12:0,0.096,0.209,0.305
10/22/16 03:0,0.096,0.221,0.317
10/23/16 19:0,0.097,0.221,0.318
10/25/16 12:0,0.099,0.227,0.326
10/27/16 03:0,0.1,0.233,0.333
10/28/16 19:0,0.101,0.233,0.334
10/30/16 12:0,0.102,0.238,0.33999999999999997
11/01/16 03:0,0.103,0.244,0.347
11/02/16 19:0,0.103,0.262,0.365
11/04/16 12:0,0.103,0.267,0.37
11/06/16 03:0,0.103,0.285,0.38799999999999996
11/07/16 19:0,0.101,0.285,0.386
11/09/16 12:0,0.1,0.285,0.385
11/11/16 03:0,0.099,0.285,0.384
11/12/16 19:0,0.098,0.285,0.383
11/14/16 12:0,0.097,0.291,0.388
11/16/16 03:0,0.097,0.291,0.388
11/17/16 19:0,0.098,0.297,0.395
11/19/16 12:0,0.1,0.302,0.402
11/21/16 03:0,0.102,0.308,0.41
11/22/16 19:0,0.106,0.308,0.414
11/24/16 12:0,0.111,0.314,0.425
11/26/16 03:0,0.117,0.32,0.437
11/27/16 19:0,0.123,0.32,0.443
11/29/16 12:0,0.129,0.32,0.449
12/01/16 03:0,0.136,0.314,0.45
12/02/16 19:0,0.142,0.326,0.46799999999999997
12/04/16 12:0,0.148,0.343,0.491
12/06/16 03:0,0.153,0.355,0.508
12/07/16 19:0,0.156,0.349,0.505
12/09/16 12:0,0.157,0.343,0.5
12/11/16 03:0,0.156,0.349,0.505
12/12/16 19:0,0.154,0.366,0.52
12/14/16 12:0,0.149,0.378,0.527
12/16/16 03:0,0.142,0.384,0.526
12/17/16 19:0,0.134,0.39,0.524
12/19/16 12:0,0.124,0.39,0.514
12/21/16 03:0,0.112,0.395,0.507
12/22/16 19:0,0.1,0.39,0.49
12/24/16 12:0,0.087,0.407,0.494
12/26/16 03:0,0.074,0.401,0.47500000000000003
12/27/16 19:0,0.062,0.395,0.457
12/29/16 12:0,0.051,0.401,0.452
12/31/16 03:0,0.042,0.407,0.44899999999999995
01/01/17 19:0,0.035,0.326,0.361
01/03/17 12:0,0.029,0.419,0.448
01/05/17 03:0,0.026,0.419,0.445
01/06/17 19:0,0.025,0.419,0.444
01/08/17 12:0,0.026,0.419,0.445
01/10/17 03:0,0.029,0.419,0.448
01/11/17 19:0,0.034,0.413,0.44699999999999995
01/13/17 12:0,0.04,0.419,0.45899999999999996
01/15/17 03:0,0.047,0.413,0.45999999999999996
01/16/17 19:0,0.055,0.413,0.46799999999999997
01/18/17 12:0,0.062,0.419,0.481
01/20/17 03:0,0.069,0.43,0.499
01/21/17 19:0,0.075,0.43,0.505
01/23/17 12:0,0.08,0.424,0.504
01/25/17 03:0,0.084,0.419,0.503
01/26/17 19:0,0.085,0.419,0.504
01/28/17 12:0,0.085,0.419,0.504
01/30/17 03:0,0.083,0.424,0.507
01/31/17 19:0,0.08,0.424,0.504
02/02/17 12:0,0.076,0.413,0.489
02/04/17 03:0,0.07,0.413,0.483
02/05/17 19:0,0.064,0.407,0.471
02/07/17 12:0,0.057,0.407,0.46399999999999997
02/09/17 03:0,0.051,0.395,0.446
02/10/17 19:0,0.045,0.395,0.44
02/12/17 12:0,0.04,0.395,0.435
02/14/17 03:0,0.037,0.395,0.432
02/15/17 19:0,0.035,0.395,0.43000000000000005
02/17/17 12:0,0.034,0.395,0.42900000000000005
02/19/17 03:0,0.035,0.395,0.43000000000000005
02/20/17 19:0,0.038,0.395,0.433
02/22/17 12:0,0.042,0.407,0.44899999999999995
02/24/17 03:0,0.047,0.419,0.46599999999999997
02/25/17 19:0,0.054,0.419,0.473
02/27/17 12:0,0.061,0.424,0.485
03/01/17 03:0,0.068,0.419,0.487
03/02/17 19:0,0.075,0.419,0.494
03/04/17 12:0,0.083,0.424,0.507
03/06/17 03:0,0.089,0.424,0.513
03/07/17 19:0,0.095,0.43,0.525
03/09/17 12:0,0.1,0.442,0.542
03/11/17 03:0,0.104,0.471,0.575
03/12/17 19:0,0.107,0.483,0.59
03/14/17 12:0,0.109,0.459,0.5680000000000001
03/16/17 03:0,0.11,0.453,0.5630000000000001
03/17/17 19:0,0.11,0.453,0.5630000000000001
03/19/17 12:0,0.11,0.459,0.5690000000000001
03/21/17 03:0,0.109,0.459,0.5680000000000001
03/22/17 19:0,0.108,0.471,0.579
03/24/17 12:0,0.108,0.471,0.579
03/26/17 03:0,0.108,0.471,0.579
